feature,coef,abs_coef
HbA1c_level,2.3102572129730086,2.3102572129730086
blood_glucose_level,1.2884359963423813,1.2884359963423813
age,1.0951324158882234,1.0951324158882234
gender_Female,-0.947008957879388,0.947008957879388
smoking_history_No Info,-0.7903066582078343,0.7903066582078343
bmi,0.6383396787788456,0.6383396787788456
gender_Male,-0.6307386068823649,0.6307386068823649
smoking_history_never,-0.24226605882011504,0.24226605882011504
hypertension,0.2186242574199595,0.2186242574199595
smoking_history_not current,-0.2062176655849887,0.2062176655849887
